model,user_group,n_users,mean_history,mean_heldout_positives,median_heldout_positives,rmse,mae,n_test_ratings,precision,recall,hit_rate,ndcg,map,novelty,ild,tail_frac,catalog_coverage,n_users_with_relevant
UBCF,heavy,310,156.09354838709677,23.54193548387097,22.0,1.0097091772061757,0.8015453437697229,13623,0.30032258064516126,0.14012232912376946,0.9516129032258065,0.3234102611077034,0.17453955453149003,2.0915947280146536,0.7000619918762192,0.0,0.05648038049940547,310
UBCF-rating,sparse,321,20.470404984423677,3.2091503267973858,3.0,1.0193833573258106,0.7973289894607832,1696,0.00032679738562091506,0.0004668534080298786,0.0032679738562091504,0.00044914433482727263,0.00015561780267662619,8.189687278681234,0.7420295151155379,0.9996884735202491,0.14447086801426873,306
UBCF-rating,medium,312,50.67628205128205,8.195512820512821,8.0,0.9654999045863522,0.7536877566429548,4314,0.0,0.0,0.0,0.0,0.0,8.47207312926234,0.7424515301286961,0.9996794871794871,0.10344827586206896,312
UBCF-rating,heavy,310,156.09354838709677,23.54193548387097,22.0,0.931293091126847,0.7280211967316912,13623,0.0003225806451612903,0.00012406947890818859,0.0032258064516129032,0.00020522834902887653,3.2258064516129034e-05,8.534879254249779,0.7021837575852724,0.9996774193548387,0.08263971462544589,310
IBCF,sparse,321,20.470404984423677,3.2091503267973858,3.0,0.997650501107083,0.7824116089152839,1696,0.0934640522875817,0.3280073140367258,0.6437908496732027,0.2547013899488252,0.1668650469447038,2.029717435730332,0.712440958412975,0.004049844236760126,0.09690844233055886,306
IBCF,medium,312,50.67628205128205,8.195512820512821,8.0,0.9472429361336921,0.7432094924307334,4314,0.14391025641025643,0.18800449381651752,0.7403846153846154,0.19680826576020316,0.10062639300734538,1.9598180833431131,0.7260338201596593,0.0,0.08145065398335315,312
IBCF,heavy,310,156.09354838709677,23.54193548387097,22.0,0.9305665221163916,0.7308701333833022,13623,0.3083870967741935,0.1397942452802979,0.9483870967741935,0.326635436203213,0.18194047619047618,2.080992844730947,0.7312585341681245,0.0,0.06718192627824018,310
IBCF-rating,sparse,321,20.470404984423677,3.2091503267973858,3.0,1.027667854973248,0.8131969180309547,1696,0.0006535947712418301,0.001556178026766262,0.006535947712418301,0.0009438600490021807,0.00033068783068783067,7.846598531957649,0.6954550127039469,0.9626168224299065,0.15636147443519618,306
IBCF-rating,medium,312,50.67628205128205,8.195512820512821,8.0,0.9425997065865648,0.7370842155837659,4314,0.0019230769230769234,0.0018236749005979774,0.019230769230769232,0.001877730288046996,0.000532534595034595,8.16826254664269,0.7008913507203468,0.9743589743589743,0.10047562425683709,312
IBCF-rating,heavy,310,156.09354838709677,23.54193548387097,22.0,0.9110908304781885,0.7116844845458659,13623,0.004838709677419355,0.0017119294080983013,0.041935483870967745,0.004128428355834559,0.0010833333333333333,8.302096561666788,0.713758202194821,0.9709677419354839,0.054102259215219974,310
RegressionCF,sparse,321,20.470404984423677,3.2091503267973858,3.0,0.9862638538231046,0.7893738147785079,1696,0.07124183006535947,0.2422307812013694,0.5196078431372549,0.18479018106678125,0.11594709488733766,2.616082153253888,0.6848856850081356,0.09158878504672897,0.19143876337693222,306
RegressionCF,medium,312,50.67628205128205,8.195512820512821,8.0,0.9490175914622441,0.7546498795378026,4314,0.12403846153846154,0.15738029218880314,0.6858974358974359,0.16943272805531168,0.08292976850640542,2.334189179712332,0.6800055509936058,0.02980769230769231,0.1539833531510107,312
RegressionCF,heavy,310,156.09354838709677,23.54193548387097,22.0,0.9323241877681672,0.7375867088346993,13623,0.30258064516129035,0.13779727539154765,0.932258064516129,0.3325122150381137,0.18385222165329693,2.2683353494009815,0.7143248125704806,0.005483870967741935,0.11355529131985731,310
RegressionCF-rating,sparse,321,20.470404984423677,3.2091503267973858,3.0,0.976936011828559,0.7794764592962445,1696,0.011111111111111112,0.030890133831310302,0.10130718954248366,0.02622396253042612,0.015260950059035959,2.5799591392438868,0.7452467844748901,0.0037383177570093455,0.027348394768133173,306
RegressionCF-rating,medium,312,50.67628205128205,8.195512820512821,8.0,0.9329891351337519,0.7388654444634389,4314,0.06025641025641025,0.06972143133431535,0.4230769230769231,0.07688528056097645,0.03236001790317266,2.6360559533211165,0.7328093692671919,0.01698717948717949,0.04399524375743163,312
RegressionCF-rating,heavy,310,156.09354838709677,23.54193548387097,22.0,0.9071873364047748,0.7132272714911548,13623,0.18709677419354842,0.08035312294368245,0.8225806451612904,0.2078498802623559,0.09962570404505888,2.6979078283435602,0.733431165435403,0.03967741935483871,0.08382877526753864,310
SLIM,sparse,321,20.470404984423677,3.2091503267973858,3.0,1.1236566399799097,0.9322073039300037,1696,0.09836601307189544,0.33596716464363524,0.6470588235294118,0.2639564482760538,0.17591496783898744,2.399870743473897,0.6913880058305456,0.028348909657320877,0.17122473246135553,306
SLIM,medium,312,50.67628205128205,8.195512820512821,8.0,1.0618502568036994,0.8751726674436694,4314,0.1778846153846154,0.23572671395478906,0.842948717948718,0.24801904870030667,0.13068836114099008,2.2532075883856724,0.7041510737988378,0.01730769230769231,0.16409036860879905,312
SLIM,heavy,310,156.09354838709677,23.54193548387097,22.0,1.0119078572758988,0.8068356954481759,13623,0.3480645161290323,0.1644510390864018,0.9580645161290322,0.3728017087259692,0.21242709933435738,2.191181629810567,0.7252016306063256,0.004193548387096774,0.13079667063020214,310
GraphRec,sparse,321,20.470404984423677,3.2091503267973858,3.0,1.1834706206257712,0.940321257794803,1696,0.08986928104575163,0.31121615312791784,0.630718954248366,0.23783046744929837,0.15296222810111698,1.8920701207528905,0.7160863490953888,0.005607476635514019,0.06539833531510107,306
GraphRec,medium,312,50.67628205128205,8.195512820512821,8.0,1.0696462217956035,0.8651930276696528,4314,0.14391025641025643,0.19052500735044198,0.7692307692307693,0.199968718463857,0.09987639381488589,1.7913560850320862,0.7061456090518261,0.000641025641025641,0.059453032104637336,312
GraphRec,heavy,310,156.09354838709677,23.54193548387097,22.0,1.0587366276128596,0.8625465723453688,13623,0.29838709677419356,0.1390767855812992,0.9290322580645162,0.3260661931063152,0.1772990129146043,1.835813910720925,0.7087650695062659,0.0,0.04875148632580262,310
