model,split,k,rmse,mae,n_test_ratings,train_time_s,predict_time_s,rank_time_s,model_bytes,catalog_coverage,n_covered_items,n_users_scored,n_users_with_relevant,user_coverage,precision_mean,precision_median,precision_std,recall_mean,recall_median,recall_std,hit_rate_mean,hit_rate_median,hit_rate_std,ndcg_mean,ndcg_median,ndcg_std,map_mean,map_median,map_std,novelty_mean,novelty_median,novelty_std,ild_mean,ild_median,ild_std,pop_rank_mean,pop_rank_median,pop_rank_std,head_frac_mean,head_frac_median,head_frac_std,medium_frac_mean,medium_frac_median,medium_frac_std,tail_frac_mean,tail_frac_median,tail_frac_std,rank_mode,family,similarity,mean_center,min_support,beta,fit_time_s
"UBCF[pearson,mc,k=20]",val,20,0.9382183928041375,0.731204813752248,9596,0.0002496250090189278,0.7841978749493137,0.016852915985509753,7121536,0.16765755053507728,282,943,880,1.0,0.00034090909090909094,0.0,0.005832095816016594,0.0006470959595959595,0.0,0.012562168720516895,0.003409090909090909,0.0,0.05832095816016595,0.00033237923394949004,0.0,0.005905992054100287,7.312710437710438e-05,0.0,0.0013515216110461126,8.375703493602085,8.443411307083966,0.3366567478451066,0.729231228146095,0.7382627868210662,0.08753876475155484,0.8658752964168805,0.874301011302796,0.04116583247234343,0.0024390243902439024,0.0,0.016107067586106295,0.001166489925768823,0.0,0.011689401313116127,0.9963944856839871,1.0,0.01975812475859424,rating,ubcf,pearson,True,3,25.0,0.0002496250090189278
"UBCF[pearson,mc,k=20]",val,20,0.9382183928041375,0.731204813752248,9596,0.0002496250090189278,0.00554904097225517,0.01759691594634205,7121536,0.09334126040428062,157,943,880,1.0,0.05806818181818181,0.0,0.0887449843739098,0.09637387659307527,0.0,0.17842105826446106,0.3931818181818182,0.0,0.48873439549424497,0.08943141945311991,0.0,0.14809401118544951,0.04437563381834215,0.0,0.10266557232706733,2.290180643801023,2.2640247069173216,0.2379509780898626,0.6773475211267228,0.687060775984335,0.0819146649410466,0.044644246121741143,0.04152290303390839,0.01959728723065414,0.7813361611876989,0.8,0.15737872841674524,0.2149522799575822,0.2,0.1542710165671177,0.003711558854718982,0.0,0.02052934164492827,score,ubcf,pearson,True,3,25.0,0.0002496250090189278
"UBCF[pearson,mc,k=20]",val,20,0.9382183928041375,0.731204813752248,9596,0.0002496250090189278,0.005818208970595151,0.016478375007864088,7121536,0.10523186682520809,177,943,880,1.0,0.06443181818181819,0.0,0.09222762011731561,0.11274815213139723,0.0,0.19353526883213643,0.42045454545454547,0.0,0.4939126808157039,0.10170849520894303,0.0,0.15869702958736986,0.05115443336425479,0.0,0.11024219951258064,2.182637504716567,2.169175702989787,0.2060690137621618,0.6771575816521523,0.6837853620877056,0.07882272047043967,0.0346725898524019,0.03248066627007734,0.014275052154688253,0.8530222693531284,0.9,0.1330233386780723,0.14665959703075293,0.1,0.13237571878654175,0.00031813361611876995,0.0,0.005634342669709343,affinity,ubcf,pearson,True,3,25.0,0.0002496250090189278
"UBCF[pearson,mc,k=30]",val,30,0.9359272962438764,0.7299722613207237,9596,0.00042229099199175835,0.7829621669952758,0.015522625006269664,7121536,0.16646848989298454,280,943,880,1.0,0.00011363636363636364,0.0,0.00337099931231621,0.00012626262626262626,0.0,0.0037455547914624554,0.0011363636363636363,0.0,0.03370999312316211,9.514194772635622e-05,0.0,0.0028223662751501503,2.104377104377104e-05,0.0,0.0006242591319104093,8.388637644377456,8.459761180312253,0.32425493688015705,0.729991628152283,0.7390354124344496,0.08782167256768934,0.8677287732709725,0.8747174301011302,0.039205148719229414,0.0008483563096500531,0.0,0.010268234516056319,0.00031813361611876995,0.0,0.005634342669709343,0.9988335100742313,1.0,0.011689401313116124,rating,ubcf,pearson,True,3,25.0,0.00042229099199175835
"UBCF[pearson,mc,k=30]",val,30,0.9359272962438764,0.7299722613207237,9596,0.00042229099199175835,0.004602207976859063,0.01563787501072511,7121536,0.07609988109393578,128,943,880,1.0,0.061590909090909085,0.0,0.08950484906416273,0.10310144277506339,0.0,0.17826893643348396,0.41704545454545455,0.0,0.4933509184769224,0.0978501689348911,0.0,0.15591091340049684,0.049659117750635605,0.0,0.11171324241695287,2.228537702957099,2.2054889888507723,0.22715170521746647,0.6701619640279017,0.6740574987089094,0.07764504806445013,0.03945229036647504,0.0362879238548483,0.018190003952140675,0.8223753976670203,0.8,0.1448253912780439,0.175609756097561,0.1,0.14402105439323507,0.0020148462354188765,0.0,0.019169923811290533,score,ubcf,pearson,True,3,25.0,0.00042229099199175835
"UBCF[pearson,mc,k=30]",val,30,0.9359272962438764,0.7299722613207237,9596,0.00042229099199175835,0.004348333983216435,0.014888582983985543,7121536,0.08799048751486326,148,943,880,1.0,0.07011363636363636,0.0,0.09707900349529802,0.12041132629055915,0.0,0.19573447374858105,0.45,0.0,0.49777662657649,0.10971406610529363,0.0,0.1628104436510871,0.055756135977118114,0.0,0.11449730289697836,2.1059080217557398,2.097216188503114,0.19495527983334635,0.6789613896289678,0.684802070302726,0.07316641541103384,0.02905368023754986,0.027543129089827485,0.01198549200930058,0.8985153764581126,0.9,0.10775612123460021,0.1014846235418876,0.1,0.10775612123460021,0.0,0.0,0.0,affinity,ubcf,pearson,True,3,25.0,0.00042229099199175835
"UBCF[pearson,mc,k=50]",val,50,0.9358369129676488,0.7320225176196589,9596,0.0002752500004135072,0.7700118329958059,0.015436000016052276,7121536,0.1605231866825208,270,943,880,1.0,0.00011363636363636364,0.0,0.00337099931231621,0.00012626262626262626,0.0,0.0037455547914624554,0.0011363636363636363,0.0,0.03370999312316211,9.514194772635622e-05,0.0,0.0028223662751501503,2.104377104377104e-05,0.0,0.0006242591319104093,8.396594911563051,8.459761180312253,0.3134583753102544,0.7290703251364532,0.7371460638945291,0.08800333391789382,0.86872354800676,0.8750743604997027,0.03765840485403786,0.00031813361611876995,0.0,0.005634342669709343,0.0,0.0,0.0,0.9996818663838812,1.0,0.0056343426697093415,rating,ubcf,pearson,True,3,25.0,0.0002752500004135072
"UBCF[pearson,mc,k=50]",val,50,0.9358369129676488,0.7320225176196589,9596,0.0002752500004135072,0.004765624995343387,0.015900125028565526,7121536,0.0624256837098692,105,943,880,1.0,0.0646590909090909,0.0,0.09292918589921904,0.10845137157399987,0.0,0.18450599130021095,0.4284090909090909,0.0,0.49512960430524494,0.10653735488725227,0.0,0.1660300509350976,0.05627081472319567,0.0,0.12315917515585582,2.1418521759464886,2.107825941594148,0.21688449623296902,0.6637672813860226,0.6633864401029499,0.07388033604302481,0.03252646539863221,0.02861392028554432,0.0168380382879023,0.8804878048780489,0.9,0.12449889199515526,0.11717921527041358,0.1,0.12235176356459501,0.002332979851537646,0.0,0.02596068079361886,score,ubcf,pearson,True,3,25.0,0.0002752500004135072
"UBCF[pearson,mc,k=50]",val,50,0.9358369129676488,0.7320225176196589,9596,0.0002752500004135072,0.0056794589618220925,0.016303292009979486,7121536,0.06420927467300833,108,943,880,1.0,0.07681818181818181,0.0,0.10032422359377553,0.13906858229167537,0.0,0.21622876864445553,0.48977272727272725,0.0,0.5001796657241577,0.12505842814606116,0.0,0.17343618539833874,0.06491827018054697,0.0,0.12246016995180647,2.007653465632655,2.008453637071362,0.1812868436706439,0.6819729152415728,0.6835967322800598,0.06791997272911036,0.022762986986360565,0.02147531231409875,0.009401161348848469,0.9464475079533405,1.0,0.07433783524619858,0.0535524920466596,0.0,0.07433783524619861,0.0,0.0,0.0,affinity,ubcf,pearson,True,3,25.0,0.0002752500004135072
"UBCF[pearson,mc,k=80]",val,80,0.9370255342018508,0.7337636569648625,9596,0.0002470420440658927,0.6937136659980752,0.016318209003657103,7121536,0.15992865636147444,269,943,880,1.0,0.00011363636363636364,0.0,0.00337099931231621,0.00012626262626262626,0.0,0.0037455547914624554,0.0011363636363636363,0.0,0.03370999312316211,9.514194772635622e-05,0.0,0.0028223662751501503,2.104377104377104e-05,0.0,0.0006242591319104093,8.398114338445183,8.459761180312253,0.30957890775206437,0.7290325623663404,0.7371460638945291,0.08809360906365182,0.8689615016058083,0.8749553837001784,0.03722447823561208,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,rating,ubcf,pearson,True,3,25.0,0.0002470420440658927
"UBCF[pearson,mc,k=80]",val,80,0.9370255342018508,0.7337636569648625,9596,0.0002470420440658927,0.005885625025257468,0.016744041990023106,7121536,0.06718192627824018,113,943,880,1.0,0.06931818181818182,0.0,0.09665386272598285,0.11735513014812132,0.0,0.19314530489341059,0.45,0.0,0.49777662657649,0.1140421157637135,0.0,0.17087207303306773,0.06042434996936485,0.0,0.12583926865561404,2.0577247274637522,2.0360221432866896,0.1924756365184591,0.6591461840585626,0.6577649391133268,0.06587836315357677,0.0262484520714643,0.023081499107674004,0.014870967756769818,0.930965005302227,1.0,0.09955219184658684,0.06585365853658537,0.0,0.09158018196733343,0.003181336161187699,0.0,0.031088804921043895,score,ubcf,pearson,True,3,25.0,0.0002470420440658927
"UBCF[pearson,mc,k=80]",val,80,0.9370255342018508,0.7337636569648625,9596,0.0002470420440658927,0.005994791979901493,0.01629299996420741,7121536,0.0558858501783591,94,943,880,1.0,0.0796590909090909,0.0,0.10355401072304753,0.15160824930401143,0.0,0.23193508510573477,0.49772727272727274,0.0,0.5002791650082571,0.1348016255872713,0.0,0.1808666571461077,0.0713840887259786,0.0,0.12857176416427718,1.9095431830763783,1.899168562817005,0.17445937482140755,0.6934146216129529,0.6976434060146834,0.06072333326681196,0.017428650193700036,0.016061867935752525,0.007849650007632953,0.9775185577942737,1.0,0.051344899969784905,0.022481442205726405,0.0,0.05134489996978492,0.0,0.0,0.0,affinity,ubcf,pearson,True,3,25.0,0.0002470420440658927
"UBCF[pearson,mc,k=120]",val,120,0.9377559699117071,0.7356293082437533,9596,0.0002926659653894603,0.5832674579578452,0.016277417016681284,7121536,0.1611177170035672,271,943,880,1.0,0.00011363636363636364,0.0,0.00337099931231621,0.00012626262626262626,0.0,0.0037455547914624554,0.0011363636363636363,0.0,0.03370999312316211,9.514194772635622e-05,0.0,0.0028223662751501503,2.104377104377104e-05,0.0,0.0006242591319104093,8.397792158808208,8.46565054921761,0.3113543389689945,0.7291761149869171,0.7371460638945291,0.08772039662783211,0.8689025809638382,0.8754312908982749,0.03745614007544461,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,rating,ubcf,pearson,True,3,25.0,0.0002926659653894603
"UBCF[pearson,mc,k=120]",val,120,0.9377559699117071,0.7356293082437533,9596,0.0002926659653894603,0.005999999993946403,0.016445124987512827,7121536,0.07491082045184304,126,943,880,1.0,0.07090909090909091,0.0,0.09900111310019219,0.12068907384603562,0.0,0.19739112400414913,0.45227272727272727,0.0,0.49799992980505664,0.11579840284448195,0.0,0.17210878174172803,0.061268621411106526,0.0,0.12651423498021414,1.9953198593686314,1.9755759273299442,0.1766218803187354,0.6685004076352942,0.666583369170485,0.06091046473260235,0.022147095950436006,0.01957168352171327,0.01408508844597291,0.9687168610816543,1.0,0.07463390765515168,0.02799575821845175,0.0,0.061310112691903625,0.003287380699893955,0.0,0.031248084779193303,score,ubcf,pearson,True,3,25.0,0.0002926659653894603
