model,stratum,level,n,rmse,mae,bias
GraphRec,true_rating,1,1163,2.3471830936969584,2.3271927938108696,2.3271927938108696
GraphRec,true_rating,2,2283,1.4211075800411823,1.3869639917575003,1.3869639917575003
GraphRec,true_rating,3,5350,0.5711955915553037,0.465793142006776,0.465793142006776
GraphRec,true_rating,4,6736,0.5520050148910661,0.48839543483744324,-0.42004217363168395
GraphRec,true_rating,5,4101,1.3760810903204683,1.3223385902126659,-1.3223385902126659
GraphRec,item_group,head,6381,1.0238236252735242,0.7999648089469404,0.09946293573808454
GraphRec,item_group,medium,6589,1.0486005801953655,0.874411748707213,-0.08743122264817481
GraphRec,item_group,long_tail,6663,1.1392544349657097,0.9322565018048287,0.008112564184242374
GraphRec,user_group,sparse,1696,1.1834706206257712,0.940321257794803,0.2570568709722105
GraphRec,user_group,medium,4314,1.0696462217956035,0.8651930276696528,0.008116662861519408
GraphRec,user_group,heavy,13623,1.0587366276128596,0.8625465723453688,-0.026304122049325643
GraphRec,overall,all,19633,1.0724670333173365,0.869846662743739,0.005737415681531121
